Feature,Midle,Turned,Value
kyverno_io_v1_ClusterPolicy_spec_rules_context_globalReference_name,ClusterPolicy,name,
kyverno_io_v1_ClusterPolicy_spec_rules_context_globalReference_jmesPath,ClusterPolicy,jmesPath,
kyverno_io_v1_ClusterPolicy_spec_rules_context_imageRegistry,ClusterPolicy,imageRegistry,
kyverno_io_v1_ClusterPolicy_spec_rules_context_imageRegistry_reference,ClusterPolicy,reference,
kyverno_io_v1_ClusterPolicy_spec_rules_context_imageRegistry_imageRegistryCredentials,ClusterPolicy,imageRegistryCredentials,
kyverno_io_v1_ClusterPolicy_spec_rules_context_imageRegistry_imageRegistryCredentials_allowInsecureRegistry,ClusterPolicy,allowInsecureRegistry,
kyverno_io_v1_ClusterPolicy_spec_rules_context_imageRegistry_imageRegistryCredentials_providers,ClusterPolicy,providers,-
kyverno_io_v1_ClusterPolicy_spec_rules_context_imageRegistry_imageRegistryCredentials_providers_default,ClusterPolicy,default,
kyverno_io_v1_ClusterPolicy_spec_rules_context_imageRegistry_imageRegistryCredentials_providers_amazon,ClusterPolicy,amazon,
kyverno_io_v1_ClusterPolicy_spec_rules_context_imageRegistry_imageRegistryCredentials_providers_azure,ClusterPolicy,azure,
kyverno_io_v1_ClusterPolicy_spec_rules_context_imageRegistry_imageRegistryCredentials_providers_google,ClusterPolicy,google,
kyverno_io_v1_ClusterPolicy_spec_rules_context_imageRegistry_imageRegistryCredentials_providers_github,ClusterPolicy,github,
kyverno_io_v1_ClusterPolicy_spec_rules_context_imageRegistry_imageRegistryCredentials_secrets,ClusterPolicy,secrets,-
kyverno_io_v1_ClusterPolicy_spec_rules_context_imageRegistry_imageRegistryCredentials_secrets_StringValue,ClusterPolicy,StringValue,
kyverno_io_v1_ClusterPolicy_spec_rules_context_imageRegistry_jmesPath,ClusterPolicy,jmesPath,
kyverno_io_v1_ClusterPolicy_spec_rules_context_variable,ClusterPolicy,variable,
kyverno_io_v1_ClusterPolicy_spec_rules_context_variable_default,ClusterPolicy,default,
kyverno_io_v1_ClusterPolicy_spec_rules_context_variable_jmesPath,ClusterPolicy,jmesPath,
kyverno_io_v1_ClusterPolicy_spec_rules_context_variable_value,ClusterPolicy,value,
